"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Sicklerville","New Jersey","United States","200","250","","","Source 1","Source 2",NA,"Sicklerville, New Jersey","Sicklerville, New Jersey, United States",NA,"https://twitter.com/barbaradreyfuss/status/823227200304508932","http://www.burlingtoncountytimes.com/news/local/video-nj-residents-gather-in-gloucester-township-to-protest-president/html_a1be7ea8-3eee-5d9f-8a37-6ad1afa50a57.html"
"Silver City","New Mexico","United States","500","500","","","Source 1 :  FB",NA,NA,"Silver City, New Mexico","Silver City, New Mexico, United States",NA,NA,NA
"Silverton","Colorado","United States","50","50","","","Source 1 :  FB",NA,NA,"Silverton, Colorado","Silverton, Colorado, United States",NA,NA,NA
"Sioux Falls","South Dakota","United States","3,300","3,300","","","Source 1",NA,NA,"Sioux Falls, South Dakota","Sioux Falls, South Dakota, United States",NA,NA,"http://www.argusleader.com/story/news/2017/01/21/thousands-join-womens-march-downtown-sioux-falls/96883868/"
"Sitka","Alaska","United States","700","700","","","Source 1",NA,NA,"Sitka, Alaska","Sitka, Alaska, United States",NA,NA,"https://twitter.com/sarahebourne/status/823019012426780672"
"Skagway","Alaska","United States","122","122","","","Source 1 :  FB",NA,NA,"Skagway, Alaska","Skagway, Alaska, United States",NA,NA,NA
"Skykomish","Washington","United States","8","8","","","Source 1 :  FB",NA,NA,"Skykomish, Washington","Skykomish, Washington, United States",NA,NA,NA
"Soldotna","Alaska","United States","200","322","","","Source 1","Source 2",NA,"Soldotna, Alaska","Soldotna, Alaska, United States",NA,"https://www.facebook.com/events/231103893966166/","http://peninsulaclarion.com/news/local/2017-01-21/solidarity-women-s-march-community-gathering-bring-hundreds-out-soldotna"
"Sonoma","California","United States","3,000","3,000","","","Source 1",NA,NA,"Sonoma, California","Sonoma, California, United States",NA,NA,"http://www.sonomanews.com/news/6572152-181/thousands-turn-up-for-sonoma?artslide=0"
"South Bend","Indiana","United States","1,000","2,000","","","Source 1","Source 2",NA,"South Bend, Indiana","South Bend, Indiana, United States",NA,"https://t.co/fWEc8zTpWX","http://www.southbendtribune.com/news/local/more-than-march-for-women-in-south-bend/article_d51bf83d-b32a-50ca-9db2-e11b34f5a855.html"
"South Lake Tahoe","CA/NV","United States","500","700","","","Source 1","Source 2","Source 3","South Lake Tahoe, CA/NV","South Lake Tahoe, CA/NV, United States","http://www.tahoedailytribune.com/news/local/lake-tahoe-womens-march-bi-state-peaceful-walk-to-be-held-in-support-of-womens-rights/","http://southtahoenow.com/story/01/21/2017/snow-doesnt-stop-supporters-south-lake-tahoe-march-draws-500","http://www.nevadaappeal.com/news/local/more-than-1-million-join-womens-marches-worldwide/"
"South Orange","New Jersey","United States","2,000","2,000","","","Source 1 :  FB",NA,NA,"South Orange, New Jersey","South Orange, New Jersey, United States",NA,NA,NA
"Southborough","Massachusetts","United States","50","50","","","Source 1",NA,NA,"Southborough, Massachusetts","Southborough, Massachusetts, United States",NA,NA,"http://www.metrowestdailynews.com/photogallery/WL/20170121/NEWS/121009991/PH/1?start=2"
"Spokane","Washington","United States","4,000","12,000","","","Source 1","Source 2 :  Eyewitness on site; noted size of overflow crowd relative to seating capacity","Source 3","Spokane, Washington","Spokane, Washington, United States","http://www.spokesman.com/stories/2017/jan/21/thousands-more-than-expected-turn-out-for-womens-m/",NA,"http://www.khq.com/story/34314162/womens-march-on-spokane-draws-thousands"
"Springfield","Illinois","United States","1,000","1,000","","","Source 1 :  State Journal Register",NA,NA,"Springfield, Illinois","Springfield, Illinois, United States",NA,NA,NA
"Springfield","Massachusetts","United States","40","40","","","Source 1",NA,NA,"Springfield, Massachusetts","Springfield, Massachusetts, United States",NA,NA,"http://www.masslive.com/news/index.ssf/2017/01/springfield_protesters_reject.html"
"Springfield","Missouri","United States","2,000","2,000","","","Source 1",NA,NA,"Springfield, Missouri","Springfield, Missouri, United States",NA,NA,"http://www.ky3.com/content/news/411423915.html"
"Springfield","Ohio","United States","","","","5","Source 1",NA,NA,"Springfield, Ohio","Springfield, Ohio, United States",NA,NA,"https://www.insurancenewsnet.com/oarticle/springfield-residents-react-protest-trumps-inauguration"
"Stamford","Connecticut","United States","5,000","5,000","","","Source 1",NA,NA,"Stamford, Connecticut","Stamford, Connecticut, United States",NA,NA,"http://www.stamfordadvocate.com/local/article/Thousands-attend-Women-s-March-in-Stamford-10873898.php"
"Stanley","Idaho","United States","30","30","","","Source 1","Source 2",NA,"Stanley, Idaho","Stanley, Idaho, United States",NA,"https://twitter.com/Carole_King/status/822992329711579137","https://twitter.com/Margot_Garnick/status/823006371444588544"
"State College","Pennsylvania","United States","200","500","","","Source 1","Source 2 :  FB",NA,"State College, Pennsylvania","State College, Pennsylvania, United States",NA,NA,"http://www.centredaily.com/news/local/community/state-college/article127994959.html"
"Statesboro","Georgia","United States","200","200","","","Source 1","Source 2",NA,"Statesboro, Georgia","Statesboro, Georgia, United States",NA,"http://www.statesboroherald.com/section/1/article/78251/","https://twitter.com/jonathanhtweets/status/823054896165486593"
"Staunton","Virginia","United States","100","150","","","Source 1","Source 2 :  Eyewitness on site",NA,"Staunton, Virginia","Staunton, Virginia, United States",NA,NA,"http://www.newsleader.com/story/news/local/2017/01/21/96880364/"
"Steamboat Springs","Colorado","United States","1,000","1,000","","","Source 1",NA,NA,"Steamboat Springs, Colorado","Steamboat Springs, Colorado, United States",NA,NA,"http://www.steamboattoday.com/news/2017/jan/21/womens-march-steamboat-springs-surpasses-expectati/"
"Surry","Maine","United States","","","","",NA,NA,NA,"Surry, Maine","Surry, Maine, United States",NA,NA,NA
"Syracuse","New York","United States","2000","3,000","","","Source 1 :  FB","Source 2 :  Eyewitness on site","Source 3","Syracuse, New York","Syracuse, New York, United States","http://www.syracuse.com/politics/index.ssf/2017/01/over_2000_gathered_in_downtown_syracuse_for_womens_march_organizers_say.html",NA,NA
"Talkeetna","Alaska","United States","25","35","","","Source 1 :  FB",NA,NA,"Talkeetna, Alaska","Talkeetna, Alaska, United States",NA,NA,NA
"Tallahassee","Florida","United States","14,000","18,000","","","Source 1","Source 2",NA,"Tallahassee, Florida","Tallahassee, Florida, United States",NA,"https://twitter.com/wideofthepost/status/823081608601341952","http://www.tallahassee.com/story/news/2017/01/21/more-than-14000-join-womens-march-on-tallahassee/96880778/"
"Taos","New Mexico","United States","100","100","","","Source 1 :  FB",NA,NA,"Taos, New Mexico","Taos, New Mexico, United States",NA,NA,NA
"Tecumseh","Michigan","United States","35","35","","","Source 1",NA,NA,"Tecumseh, Michigan","Tecumseh, Michigan, United States",NA,NA,"https://twitter.com/Anthony_Alaniz/status/823176969202319360"
"Telluride","Colorado","United States","200","1,000","","","Source 1 :  FB","Source 2 :  Twitter onsite report",NA,"Telluride, Colorado","Telluride, Colorado, United States",NA,NA,NA
"Tenants Harbor","Maine","United States","50","65","","","Source 1","Source 2 :  FB",NA,"Tenants Harbor, Maine","Tenants Harbor, Maine, United States",NA,NA,"http://knox.villagesoup.com/p/midcoast-lens-strength-in-numbers-at-womens-marches/1616859"
"Terre Haute","Indiana","United States","200","200","","","Source 1",NA,NA,"Terre Haute, Indiana","Terre Haute, Indiana, United States",NA,NA,"http://www.tribstar.com/news/local_news/wabash-valley-residents-gather-in-solidarity-with-marchers-in-washington/article_49969ab3-c25d-52a1-b185-aa99dd701846.html"
"The Dalles","Oregon","United States","50","150","","","Source 1 :  FB","Source 2 :  Eyewitness on site; counted",NA,"The Dalles, Oregon","The Dalles, Oregon, United States",NA,NA,NA
"Tillamook","Oregon","United States","300","300","","","Source 1",NA,NA,"Tillamook, Oregon","Tillamook, Oregon, United States",NA,NA,"http://www.tillamookheadlightherald.com/news/womens-march-rally-draws-hundreds-in-tillamook/article_9ae75ab2-e02f-11e6-89fc-3f59da891fab.html"
"Tisbury","Massachusetts","United States","100","160","","","Source 1","Source 2",NA,"Tisbury, Massachusetts","Tisbury, Massachusetts, United States",NA,"https://vineyardgazette.com/news/2017/01/21/islanders-join-national-day-protest","http://www.mvtimes.com/2017/01/21/photos-womens-march-five-corners/"
"Toledo","Ohio","United States","","","","200","Source 1",NA,NA,"Toledo, Ohio","Toledo, Ohio, United States",NA,NA,"http://www.toledoblade.com/Politics/2017/01/21/Toledo-marchers-deliver-message-of-unity-after-inauguration.html"
"Topeka","Kansas","United States","3,000","4,000","","","Source 1","Source 2 :  FB",NA,"Topeka, Kansas","Topeka, Kansas, United States",NA,NA,"http://cjonline.com/news/local/2017-01-21/women-s-march-topeka-draws-thousands-thumps-trump"
"Traverse City","Michigan","United States","3,000","3,000","","","Source 1",NA,NA,"Traverse City, Michigan","Traverse City, Michigan, United States",NA,NA,"http://www.record-eagle.com/news/thousands-gather-for-traverse-city-women-s-march/article_547cdcb0-e029-11e6-be94-83e0491aa877.html"
"Trenton","New Jersey","United States","6,000","8,000","","","Source 1","Source 2 :  Eyewitness on site","Source 3","Trenton, New Jersey","Trenton, New Jersey, United States","https://t.co/PlbfhQeCXd",NA,"http://www.nj.com/politics/index.ssf/2017/01/crowd_of_6k_converges_on_womens_march_in_trenton.html"
"Troy","Ohio","United States","150","200","","","Source 1",NA,NA,"Troy, Ohio","Troy, Ohio, United States",NA,NA,"http://tdn-net.com/top-stories/18578/promoting-unity"
"Troy","Pennsylvania","United States","6","6","","","Source 1 :  Eyewitness on site",NA,NA,"Troy, Pennsylvania","Troy, Pennsylvania, United States",NA,NA,NA
"Truckee","California","United States","100","200","","","Source 1 :  Eyewitnesses on site; FB",NA,NA,"Truckee, California","Truckee, California, United States",NA,NA,NA
"Truth or Consequences","New Mexico","United States","150","158","","","Source 1 :  FB","Source 2 :  onsite eyewitness",NA,"Truth or Consequences, New Mexico","Truth or Consequences, New Mexico, United States",NA,NA,NA
"Tucson","Arizona","United States","15,000","15,000","","","Source 1","Source 2",NA,"Tucson, Arizona","Tucson, Arizona, United States",NA,"http://www.kvoa.com/story/34313959/womens-march-in-tucson-draws-10000","http://tucson.com/news/local/join-women-s-march-in-tucson/article_a3326d7b-dc9c-5b3f-a443-e6667b3f4a6b.html"
"Tulsa","Oklahoma","United States","1,000","1,000","","","Source 1",NA,NA,"Tulsa, Oklahoma","Tulsa, Oklahoma, United States",NA,NA,"http://www.tulsaworld.com/homepagelatest/tulsa-rally-promotes-cause-of-women-s-rights-indigenous-group/article_688e80bc-a873-5087-bf2f-057e22435172.html#.WIRHr5jrEik.twitter"
"Tupper Lake","New York","United States","5","5","","","Source 1 :  Eyewitness on site",NA,NA,"Tupper Lake, New York","Tupper Lake, New York, United States",NA,NA,NA
"Tuscarora","Nevada","United States","7","7","","","Source 1 :  Eyewitness on site",NA,NA,"Tuscarora, Nevada","Tuscarora, Nevada, United States",NA,NA,NA
"Twisp","Washington","United States","600","800","","","Source 1","Source 2 :  FB",NA,"Twisp, Washington","Twisp, Washington, United States",NA,NA,"http://methowtv.com/womens-march-january-21-2017/"
"Ukiah","California","United States","1,500","2,000","","","Source 1 :  Eyewitness on site","Source 2",NA,"Ukiah, California","Ukiah, California, United States",NA,"http://www.ukiahdailyjournal.com/general-news/20170121/womens-march-in-ukiah-draws-record-crowds",NA
"Unalakleet","Alaska","United States","38","40","","","Source 1 :  adn.com","Source 2 :  Eyewitness on site; counted",NA,"Unalakleet, Alaska","Unalakleet, Alaska, United States",NA,NA,NA
"Unalaska (Dutch Harbor)","Alaska","United States","80","86","","","Source 1","Source 2 :  email/FB",NA,"Unalaska (Dutch Harbor), Alaska","Unalaska (Dutch Harbor), Alaska, United States",NA,NA,"http://kucb.org/post/womens-march-draws-80-unalaskans"
"Union","Washington","United States","55","60","","","Source 1 :  signature collection by organizer via google form",NA,NA,"Union, Washington","Union, Washington, United States",NA,NA,NA
"University Park","Maryland","United States","80","80","","","Source 1 :  Eyewitness on site",NA,NA,"University Park, Maryland","University Park, Maryland, United States",NA,NA,NA
"Utica","New York","United States","200","300","","","Source 1","Source 2","Source 3 :  eyewitness onsite via google form","Utica, New York","Utica, New York, United States",NA,"http://www.wktv.com/story/34315659/counter-inaugural-rally-held-in-utica","http://www.wktv.com/story/34315510/peaceful-human-rights-march-at-mvcc"
"Utqiagvik (Barrow)","Alaska","United States","22","35","","","Source 1","Source 2 :  FB; photographic evidence","Source 3","Utqiagvik (Barrow), Alaska","Utqiagvik (Barrow), Alaska, United States","https://twitter.com/adndotcom/status/823017156191272961",NA,"https://twitter.com/trulyfrancesca/status/823000866718420993"
"Valdez","Alaska","United States","100","130","","","Source 1","Source 2",NA,"Valdez, Alaska","Valdez, Alaska, United States",NA,"https://www.facebook.com/leeAhart/videos/10212201725305357/?autoplay_reason=gatekeeper&video_container_type=1&video_creator_product_type=0&app_id=2392950137&live_video_guests=0","https://jackpineradicals.com/boards/topic/womens-march-in-gustavus-alaska/"
"Vallejo","California","United States","100","200","","","Source 1","Source 2",NA,"Vallejo, California","Vallejo, California, United States",NA,"https://www.facebook.com/permalink.php?story_fbid=1336484796431394&id=142887042457848&comment_id=1336491106430763&reply_comment_id=1336839866395887&notif_t=share_reply&notif_id=1485100852235564","http://www.dailyrepublic.com/news/mare-island-walk-takes-stand-with-womens-march/"
"Valparaiso","Indiana","United States","260","500","","","Source 1","Source 2 :  FB",NA,"Valparaiso, Indiana","Valparaiso, Indiana, United States",NA,NA,"http://www.nwitimes.com/news/local/women-march-for-rights-in-valparaiso/article_a8aeff74-665f-52ec-a5ee-19cdbe93cf4e.html"
